epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.69,37.97,1.38,50.28
2,1.33,51.98,1.22,56.54
3,1.18,57.9,1.06,61.66
4,1.08,61.54,0.99,64.81
5,1.02,64.12,0.97,66.25
6,0.96,66.2,0.9,68.6
7,0.92,67.76,0.93,66.38
8,0.88,69.21,0.84,70.37
9,0.85,70.08,0.79,72.0
10,0.82,71.21,0.79,72.18
11,0.8,72.0,0.8,72.18
12,0.78,72.63,0.76,72.93
13,0.76,73.33,0.74,73.9
14,0.74,74.06,0.73,74.03
15,0.72,74.63,0.74,73.98
16,0.71,75.29,0.7,75.51
17,0.7,75.71,0.69,75.46
18,0.68,76.18,0.69,75.73
19,0.67,76.47,0.72,74.52
20,0.66,77.12,0.67,76.93
21,0.64,77.5,0.66,76.88
22,0.63,77.87,0.67,77.04
23,0.63,78.26,0.65,77.46
24,0.61,78.87,0.65,77.39
25,0.6,79.06,0.66,77.19
26,0.59,79.32,0.65,76.98
27,0.59,79.46,0.61,78.86
28,0.59,79.82,0.62,78.49
29,0.57,80.23,0.62,78.92
30,0.57,80.24,0.6,79.41
31,0.52,81.96,0.56,80.63
32,0.51,82.52,0.56,80.63
33,0.51,82.34,0.55,80.9
34,0.51,82.31,0.56,80.73
35,0.5,82.42,0.55,80.94
36,0.5,82.65,0.55,81.16
37,0.5,82.58,0.55,80.59
38,0.5,82.72,0.55,80.57
39,0.49,82.93,0.55,80.74
40,0.49,82.77,0.55,80.79
41,0.49,82.68,0.55,80.96
42,0.49,83.12,0.55,81.15
43,0.49,82.98,0.55,81.2
44,0.49,83.13,0.55,81.06
45,0.49,83.07,0.55,81.19
46,0.48,83.39,0.55,81.11
47,0.48,83.13,0.55,81.02
48,0.48,83.23,0.54,81.21
49,0.48,83.45,0.54,81.27
50,0.48,83.27,0.54,81.36
51,0.48,83.33,0.54,81.01
52,0.48,83.27,0.55,80.93
53,0.48,83.59,0.54,81.46
54,0.48,83.46,0.54,81.39
55,0.48,83.56,0.55,80.88
56,0.48,83.62,0.54,81.12
57,0.48,83.38,0.53,81.64
58,0.47,83.72,0.54,81.4
59,0.47,83.64,0.53,81.64
60,0.47,83.48,0.54,81.42
61,0.47,83.86,0.53,81.17
62,0.47,83.75,0.54,81.22
63,0.47,84.07,0.54,81.63
64,0.46,84.09,0.54,81.28
65,0.46,83.81,0.53,81.25
66,0.46,83.9,0.54,81.58
67,0.46,83.74,0.53,81.44
68,0.46,84.11,0.54,81.51
69,0.46,83.96,0.53,81.63
70,0.46,84.05,0.54,81.53
71,0.46,84.13,0.54,81.75
72,0.46,83.97,0.53,81.58
73,0.46,83.86,0.54,81.38
74,0.46,84.12,0.53,81.84
75,0.46,83.92,0.53,81.13
76,0.46,83.89,0.53,81.68
77,0.47,83.85,0.53,81.79
78,0.46,84.01,0.53,81.33
79,0.47,83.72,0.53,81.92
80,0.46,83.81,0.54,81.51
81,0.46,83.92,0.54,81.63
82,0.46,84.1,0.53,81.67
83,0.46,83.91,0.54,81.58
84,0.46,83.86,0.54,81.5
85,0.47,83.65,0.54,81.35
86,0.47,83.72,0.54,81.71
87,0.46,83.96,0.53,81.22
88,0.46,83.95,0.53,81.76
89,0.46,84.14,0.54,81.3
90,0.46,84.12,0.54,81.53
91,0.46,84.04,0.54,81.3
92,0.46,84.13,0.53,81.74
93,0.46,83.96,0.53,81.54
94,0.46,84.29,0.53,81.66
95,0.46,84.05,0.53,81.82
96,0.46,83.86,0.52,82.13
97,0.46,83.99,0.53,81.77
98,0.46,83.91,0.54,81.7
99,0.46,83.93,0.54,81.22
100,0.46,83.89,0.53,81.41
