epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.41,48.45,1.33,52.96
2,0.99,64.75,0.98,66.11
3,0.78,72.71,0.82,71.24
4,0.66,77.26,0.67,76.5
5,0.58,79.86,0.65,77.11
6,0.51,82.38,0.66,77.56
7,0.47,83.85,0.58,80.08
8,0.43,85.11,0.55,81.31
9,0.4,86.22,0.51,82.64
10,0.37,87.24,0.51,83.08
11,0.34,88.1,0.47,83.99
12,0.31,89.19,0.46,84.23
13,0.3,89.63,0.53,82.99
14,0.27,90.42,0.43,85.46
15,0.26,91.04,0.43,85.87
16,0.24,91.6,0.39,86.56
17,0.22,92.22,0.42,86.57
18,0.21,92.6,0.41,86.51
19,0.2,92.92,0.37,87.81
20,0.19,93.3,0.48,85.35
21,0.18,93.84,0.42,86.57
22,0.17,94.11,0.4,87.19
23,0.16,94.45,0.43,86.74
24,0.15,94.81,0.39,87.6
25,0.14,95.26,0.4,87.42
26,0.13,95.18,0.37,88.22
27,0.13,95.57,0.37,88.52
28,0.12,95.68,0.39,88.59
29,0.12,95.92,0.41,88.23
30,0.11,96.25,0.36,88.98
31,0.06,97.9,0.29,91.02
32,0.05,98.6,0.3,91.06
33,0.04,98.8,0.29,91.3
34,0.04,98.97,0.31,91.27
35,0.03,99.01,0.31,90.98
36,0.03,99.08,0.31,91.19
37,0.03,99.14,0.32,91.18
38,0.03,99.22,0.31,91.12
39,0.03,99.24,0.31,91.2
40,0.02,99.42,0.31,91.59
41,0.02,99.39,0.32,91.24
42,0.02,99.47,0.32,91.15
43,0.02,99.45,0.33,91.19
44,0.02,99.47,0.32,91.42
45,0.02,99.57,0.34,90.99
46,0.02,99.58,0.33,91.53
47,0.02,99.57,0.34,91.04
48,0.02,99.58,0.33,91.44
49,0.02,99.6,0.34,91.32
50,0.01,99.63,0.34,91.11
51,0.01,99.62,0.34,91.43
52,0.01,99.63,0.37,91.22
53,0.01,99.63,0.35,91.07
54,0.01,99.73,0.36,91.23
55,0.01,99.69,0.35,91.66
56,0.01,99.73,0.37,90.92
57,0.01,99.7,0.37,91.15
58,0.01,99.75,0.36,91.38
59,0.01,99.79,0.37,91.22
60,0.01,99.79,0.37,91.07
61,0.01,99.79,0.35,91.61
62,0.01,99.83,0.36,91.2
63,0.01,99.85,0.35,91.48
64,0.01,99.84,0.35,91.58
65,0.01,99.85,0.36,91.44
66,0.01,99.85,0.36,91.53
67,0.01,99.85,0.35,91.26
68,0.01,99.85,0.36,91.55
69,0.01,99.87,0.36,91.5
70,0.01,99.86,0.36,91.27
71,0.01,99.87,0.36,91.43
72,0.01,99.89,0.36,91.41
73,0.01,99.88,0.36,91.66
74,0.01,99.89,0.36,91.38
75,0.01,99.85,0.37,91.28
76,0.01,99.88,0.37,91.63
77,0.01,99.87,0.36,91.35
78,0.01,99.9,0.37,91.26
79,0.01,99.9,0.37,91.72
80,0.01,99.9,0.36,91.43
81,0.01,99.86,0.35,91.74
82,0.01,99.89,0.38,91.35
83,0.01,99.88,0.35,91.72
84,0.01,99.89,0.36,91.13
85,0.0,99.93,0.37,91.43
86,0.01,99.92,0.36,91.58
87,0.01,99.88,0.36,91.84
88,0.01,99.9,0.36,91.2
89,0.01,99.9,0.36,91.72
90,0.01,99.9,0.36,91.51
91,0.01,99.88,0.36,91.46
92,0.0,99.92,0.37,91.29
93,0.0,99.93,0.36,91.74
94,0.01,99.89,0.36,91.63
95,0.01,99.92,0.37,91.75
96,0.01,99.91,0.36,91.66
97,0.01,99.91,0.35,91.45
98,0.01,99.88,0.36,91.7
99,0.0,99.92,0.36,91.52
100,0.01,99.92,0.37,91.25
