epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,2.09,21.96,1.97,26.63
2,1.98,26.0,1.9,29.53
3,1.93,27.95,1.87,30.75
4,1.9,29.14,1.83,32.57
5,1.87,30.04,1.8,33.62
6,1.85,31.05,1.79,33.88
7,1.83,31.44,1.77,34.93
8,1.81,32.5,1.76,34.25
9,1.8,32.71,1.74,35.79
10,1.78,33.56,1.72,36.9
11,1.77,33.7,1.71,36.83
12,1.76,34.65,1.71,37.0
13,1.75,34.65,1.69,37.88
14,1.74,35.21,1.68,38.69
15,1.72,35.95,1.67,38.88
16,1.71,36.36,1.66,39.03
17,1.71,36.66,1.65,39.87
18,1.69,37.34,1.63,40.0
19,1.68,37.67,1.64,39.68
20,1.67,38.31,1.63,40.55
21,1.66,38.86,1.61,41.26
22,1.65,39.12,1.61,41.27
23,1.64,39.3,1.6,41.8
24,1.64,39.81,1.59,41.71
25,1.62,40.4,1.59,42.62
26,1.61,40.77,1.57,42.58
27,1.61,40.85,1.58,42.01
28,1.6,41.25,1.56,42.8
29,1.59,41.53,1.56,43.04
30,1.59,41.76,1.54,43.74
31,1.58,42.14,1.55,43.48
32,1.57,42.46,1.55,43.99
33,1.57,42.37,1.54,43.75
34,1.57,42.51,1.54,44.09
35,1.57,42.37,1.54,44.15
36,1.57,42.42,1.54,43.53
37,1.57,42.65,1.55,43.69
38,1.57,42.6,1.54,44.14
39,1.57,42.4,1.54,44.38
40,1.57,42.73,1.53,44.18
41,1.56,42.6,1.53,44.29
42,1.56,42.87,1.54,44.46
43,1.56,42.53,1.54,43.93
44,1.57,42.8,1.54,43.96
45,1.57,42.79,1.53,45.11
46,1.56,42.74,1.53,43.89
47,1.56,42.98,1.53,44.65
48,1.56,42.89,1.53,43.89
49,1.56,42.93,1.52,44.84
50,1.56,43.02,1.53,44.81
51,1.55,43.07,1.53,44.4
52,1.56,43.13,1.53,43.99
53,1.56,43.13,1.53,44.35
54,1.56,42.84,1.53,44.87
55,1.56,42.91,1.53,44.15
56,1.56,43.09,1.53,44.56
57,1.55,43.49,1.52,44.45
58,1.55,43.18,1.53,43.98
59,1.55,43.12,1.52,44.84
60,1.55,43.28,1.53,44.44
61,1.55,43.54,1.53,44.15
62,1.55,43.3,1.52,44.54
63,1.55,43.56,1.52,45.03
64,1.55,43.38,1.52,45.12
65,1.55,43.41,1.52,44.69
66,1.55,43.45,1.53,44.65
67,1.55,43.14,1.53,44.32
68,1.55,43.43,1.52,45.12
69,1.55,43.27,1.52,44.53
70,1.55,43.55,1.52,45.4
71,1.55,43.34,1.52,44.4
72,1.55,43.35,1.51,44.85
73,1.55,43.22,1.52,45.0
74,1.55,43.32,1.52,44.47
75,1.55,43.47,1.52,44.52
76,1.55,43.13,1.52,44.93
77,1.55,43.09,1.52,44.23
78,1.55,43.45,1.53,44.61
79,1.55,43.32,1.52,44.51
80,1.55,43.3,1.52,44.85
81,1.55,43.34,1.52,44.56
82,1.55,43.37,1.52,44.76
83,1.55,43.48,1.53,44.77
84,1.55,43.41,1.52,44.81
85,1.55,43.2,1.52,44.92
86,1.55,43.21,1.52,45.07
87,1.55,43.71,1.52,44.6
88,1.55,43.46,1.52,44.88
89,1.55,43.62,1.52,44.11
90,1.54,43.67,1.53,43.8
91,1.55,43.49,1.52,44.69
92,1.55,43.48,1.53,44.16
93,1.55,43.51,1.52,44.77
94,1.55,43.16,1.52,44.47
95,1.55,43.22,1.52,44.74
96,1.55,43.37,1.51,44.94
97,1.55,43.61,1.52,44.85
98,1.55,43.33,1.52,44.49
99,1.55,43.63,1.52,44.83
100,1.55,43.47,1.53,44.89
